0,0,0,0,0
0,1,2,5,5
0,1,1,1,2
0.0,0,0,0,0.0
0.01,0,0,0,0.19999946666709334
0.02,0,0,0,0.3999957333469866
0.03,0,0,0,0.5999856001036797
0.04,0,0,0,0.7999658671035708
0.05,0,0,0,0.999933334666654
0.06,0,0,0,1.1998848033177145
0.07,0,0,0,1.3998170738375197
0.08,0,0,0,1.5997269473140059
0.09,0,0,0,1.7996112251934628
0.1,0,0,0,1.999466709331708
0.11,0,0,0,2.1992902020452596
0.12,0,0,0,2.3990785061624966
0.13,0,0,0,2.598828425074815
0.14,0,0,0,2.798536762787774
0.15,0,0,0,2.9982003239722297
0.16,0,0,0,3.1978159140154645
0.17,0,0,0,3.397380339072295
0.18,0,0,0,3.5968904061161773
0.19,0,0,0,3.796342922990296
0.2,0,0,0,3.9957346984586346
0.21,0,0,0,4.195062542257041
0.22,0,0,0,4.394323265144266
0.23,0,0,0,4.593513678952993
0.24,0,0,0,4.792630596640852
0.25,0,0,0,4.991670832341407
0.26,0,0,0,5.190631201415136
0.27,0,0,0,5.389508520500374
0.28,0,0,0,5.58829960756426
0.29,0,0,0,5.787001281953643
0.3,0,0,0,5.985610364445968
0.31,0,0,0,6.184123677300157
0.32,0,0,0,6.382538044307437
0.33,0,0,0,6.580850290842168
0.34,0,0,0,6.779057243912638
0.35,0,0,0,6.977155732211824
0.36,0,0,0,7.175142586168143
0.37,0,0,0,7.3730146379961505
0.38,0,0,0,7.570768721747241
0.39,0,0,0,7.768401673360295
0.4,0,0,0,7.9659103307122985
0.41,0,0,0,8.163291533668952
0.42,0,0,0,8.360542124135216
0.43,0,0,0,8.55765894610585
0.44,0,0,0,8.754638845715915
0.45,0,0,0,8.951478671291209
0.46,0,0,0,9.14817527339873
0.47,0,0,0,9.344725504897035
0.48,0,0,0,9.54112622098662
0.49,0,0,0,9.737374279260209
0.5,0,0,0,9.933466539753061
0.51,0,0,0,10.129399864993193
0.52,0,0,0,10.325171120051577
0.53,0,0,0,10.520777172592311
0.54,0,0,0,10.716214892922727
0.55,0,0,0,10.911481154043466
0.56,0,0,0,11.106572831698521
0.57,0,0,0,11.301486804425208
0.58,0,0,0,11.496219953604125
0.59,0,0,0,11.690769163509033
0.6,0,0,0,11.88513132135673
0.61,0,0,0,12.079303317356835
0.62,0,0,0,12.273282044761553
0.63,0,0,0,12.467064399915383
0.64,0,0,0,12.660647282304783
0.65,0,0,0,12.854027594607755
0.66,0,0,0,13.047202242743436
0.67,0,0,0,13.240168135921571
0.68,0,0,0,13.43292218669199
0.69,0,0,0,13.62546131099399
0.7,0,0,0,13.817782428205689
0.71,0,0,0,14.009882461193316
0.72,0,0,0,14.201758336360443
0.73,0,0,0,14.393406983697158
0.74,0,0,0,14.584825336829194
0.75,0,0,0,14.776010333066978
0.76,0,0,0,14.966958913454661
0.77,0,0,0,15.15766802281902
0.78,0,0,0,15.34813460981838
0.79,0,0,0,15.538355626991407
0.8,0,0,0,15.728328030805889
0.81,0,0,0,15.918048781707414
0.82,0,0,0,16.107514844168023
0.83,0,0,0,16.29672318673474
0.84,0,0,0,16.48567078207814
0.85,0,0,0,16.67435460704072
0.86,0,0,0,16.862771642685306
0.87,0,0,0,17.050918874343353
0.88,0,0,0,17.238793291663157
0.89,0,0,0,17.426391888658056
0.9,0,0,0,17.613711663754497
0.91,0,0,0,17.80074961984008
0.92,0,0,0,17.9875027643115
0.93,0,0,0,18.17396810912242
0.94,0,0,0,18.3601426708313
0.95,0,0,0,18.546023470649136
0.96,0,0,0,18.73160753448709
0.97,0,0,0,18.916891893004095
0.98,0,0,0,19.10187358165437
0.99,0,0,0,19.28654964073485
1.0,0,0,0,19.470917115432528
1.01,0,0,0,19.654973055871736
1.02,0,0,0,19.83871451716135
1.03,0,0,0,20.022138559441917
1.04,0,0,0,20.205242247932674
1.05,0,0,0,20.388022652978506
1.06,0,0,0,20.570476850096842
1.07,0,0,0,20.75260192002441
1.08,0,0,0,20.934394948763977
1.09,0,0,0,21.115853027630962
1.1,0,0,0,21.29697325329998
1.11,0,0,0,21.477752727851282
1.12,0,0,0,21.65818855881713
1.13,0,0,0,21.83827785922807
1.14,0,0,0,22.01801774765915
1.15,0,0,0,22.19740534827599
1.16,0,0,0,22.3764377908808
1.17,0,0,0,22.555112210958313
1.18,0,0,0,22.733425749721633
1.19,0,0,0,22.911375554157935
1.2,0,0,0,23.088958777074144
1.21,0,0,0,23.266172577142488
1.22,0,0,0,23.44301411894594
1.23,0,0,0,23.61948057302361
1.24,0,0,0,23.795569115915985
1.25,0,0,0,23.971276930210152
1.26,0,0,0,24.146601204584815
1.27,0,0,0,24.321539133855342
1.28,0,0,0,24.49608791901858
1.29,0,0,0,24.670244767297696
1.3,0,0,0,24.844006892186837
1.31,0,0,0,25.017371513495707
1.32,0,0,0,25.190335857394064
1.33,0,0,0,25.362897156456093
1.34,0,0,0,25.5350526497047
1.35,0,0,0,25.70679958265566
1.36,0,0,0,25.8781352073617
1.37,0,0,0,26.049056782456496
1.38,0,0,0,26.219561573198487
1.39,0,0,0,26.38964685151465
1.4,0,0,0,26.55930989604417
1.41,0,0,0,26.728547992181955
1.42,0,0,0,26.897358432122072
1.43,0,0,0,27.065738514901085
1.44,0,0,0,27.23368554644126
1.45,0,0,0,27.401196839593677
1.46,0,0,0,27.568269714181227
1.47,0,0,0,27.734901497041463
1.48,0,0,0,27.901089522069427
1.49,0,0,0,28.066831130260255
1.5,0,0,0,28.23212366975177
1.51,0,0,0,28.39696449586685
1.52,0,0,0,28.561350971155797
